Date,Timestamp,result
18.11.2019,11:27,261
18.11.2019,12:32,241
18.11.2019,13:56,244
18.11.2019,14:27,273
18.11.2019,15:37,271
18.11.2019,16:57,254
18.11.2019,17:48,269
18.11.2019,18:51,257
18.11.2019,19:54,251
18.11.2019,21:13,299
19.11.2019,08:52,246
19.11.2019,10:31,266
19.11.2019,13:19,234
19.11.2019,14:37,256
19.11.2019,16:04,227
19.11.2019,17:00,211
19.11.2019,21:25,233
19.11.2019,22:34,244
20.11.2019,07:33,244
20.11.2019,09:03,281
20.11.2019,10:14,244
20.11.2019,11:41,261
20.11.2019,13:26,243
20.11.2019,14:38,277
20.11.2019,15:25,250
20.11.2019,16:30,265
20.11.2019,19:17,237
20.11.2019,20:39,247
20.11.2019,22:15,258
21.11.2019,08:51,260
21.11.2019,12:00,270
21.11.2019,15:22,259
21.11.2019,17:01,251
21.11.2019,18:56,232
21.11.2019,21:27,272
22.11.2019,09:04,241
22.11.2019,15:12,233
22.11.2019,16:32,251
