Date,Timestamp,result
18.11.2019,14:27,254
18.11.2019,15:35,246
18.11.2019,16:32,240
18.11.2019,17:34,253
18.11.2019,19:35,210
18.11.2019,23:10,230
19.11.2019,10:21,209
19.11.2019,17:27,222
19.11.2019,18:45,209
19.11.2019,22:05,205
20.11.2019,09:42,227
20.11.2019,12:51,225
20.11.2019,17:00,229
20.11.2019,19:44,234
20.11.2019,22:40,258
22.11.2019,07:18,247
22.11.2019,11:42,219
22.11.2019,15:27,228
22.11.2019,18:40,256
22.11.2019,22:07,261
23.11.2019,10:47,219
23.11.2019,14:57,247
23.11.2019,18:30,230
23.11.2019,22:29,245
24.11.2019,09:40,239
24.11.2019,11:50,223
24.11.2019,15:10,221
24.11.2019,19:39,238
24.11.2019,22:39,245
