Date,Timestamp,result
18.11.2019,18:57,240
18.11.2019,12:29,227
18.11.2019,18:06,224
18.11.2019,12:08,235
18.11.2019,14:35,212
18.11.2019,20:05,234
18.11.2019,19:53,221
18.11.2019,16:58,242
18.11.2019,21:22,214
18.11.2019,15:12,234
19.11.2019,15:26,259
19.11.2019,15:48,225
19.11.2019,20:12,233
19.11.2019,12:51,195
19.11.2019,16:26,234
19.11.2019,15:24,219
19.11.2019,21:56,246
19.11.2019,19:57,217
19.11.2019,16:10,205
19.11.2019,17:03,223
20.11.2019,18:57,240
20.11.2019,12:29,221
20.11.2019,18:06,219
20.11.2019,12:08,206
20.11.2019,14:35,218
20.11.2019,20:05,239
20.11.2019,19:53,255
20.11.2019,16:58,186
20.11.2019,21:22,226
20.11.2019,15:12,230
21.11.2019,15:26,228
21.11.2019,15:48,228
21.11.2019,20:12,229
21.11.2019,12:51,217
21.11.2019,16:26,242
21.11.2019,15:24,243
21.11.2019,21:56,211
21.11.2019,19:57,239
21.11.2019,16:10,211
21.11.2019,17:03,256
22.11.2019,18:57,231
22.11.2019,12:29,224
22.11.2019,18:06,228
22.11.2019,12:08,227
22.11.2019,14:35,229
22.11.2019,20:05,199
22.11.2019,19:53,226
22.11.2019,16:58,242
22.11.2019,21:22,236
22.11.2019,15:12,237
